Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics,24,243.1,42.6,86.3,.494,16.8,41.6,.404,25.8,44.7,.578,18.8,22.1,.849,8.0,34.2,42.2,27.0,6.1,5.2,13.9,20.5,120.8
2,Sacramento Kings,22,241.1,43.1,87.5,.493,13.5,37.5,.362,29.6,50.0,.592,19.8,24.9,.795,8.0,34.2,42.2,28.1,7.2,3.4,15.1,21.0,119.6
3,Golden State Warriors,24,241.0,43.1,89.0,.484,16.7,43.6,.382,26.5,45.5,.582,14.8,18.7,.791,8.9,33.7,42.6,30.0,7.1,4.1,17.1,23.0,117.7
4,Utah Jazz,26,241.9,42.7,89.5,.477,14.6,39.1,.374,28.1,50.4,.558,17.6,22.6,.779,11.8,32.3,44.1,27.1,7.3,4.9,16.0,21.6,117.7
5,New Orleans Pelicans,23,243.3,43.3,89.3,.485,11.5,30.7,.375,31.7,58.5,.542,19.2,24.2,.794,11.3,33.9,45.1,27.1,8.8,4.5,14.6,19.6,117.3
6,Oklahoma City Thunder,23,245.4,44.0,94.7,.464,11.5,34.0,.338,32.4,60.7,.535,17.4,22.2,.784,12.2,32.4,44.6,24.2,8.2,5.9,14.1,21.9,116.8
7,Phoenix Suns,23,241.1,43.7,90.7,.481,12.8,33.3,.386,30.8,57.4,.537,16.6,20.5,.811,11.7,31.6,43.3,27.6,7.3,5.6,13.5,21.9,116.7
8,Memphis Grizzlies,23,242.2,42.7,92.7,.460,12.3,33.8,.366,30.3,59.0,.514,17.7,25.3,.699,14.2,34.8,49.0,24.3,7.0,5.3,14.7,20.0,115.3
9,Indiana Pacers,23,240.0,40.8,90.9,.449,14.3,40.1,.355,26.5,50.7,.523,19.3,24.2,.797,10.9,32.4,43.3,27.7,8.3,6.4,15.7,22.2,115.1
10,Minnesota Timberwolves,23,241.1,42.3,87.5,.483,11.1,34.0,.326,31.2,53.5,.582,19.3,24.4,.792,9.8,33.3,43.1,26.5,8.3,5.9,16.6,22.3,115.0
11,Los Angeles Lakers,22,241.1,42.3,89.4,.473,9.9,30.0,.330,32.4,59.4,.546,20.2,25.4,.797,9.7,36.2,46.0,25.1,6.8,5.2,14.5,18.7,114.8
12,Denver Nuggets,23,241.1,43.2,86.4,.500,12.3,30.9,.397,30.9,55.5,.557,16.1,21.7,.745,10.4,32.7,43.1,27.9,7.1,4.3,15.3,19.4,114.7
